Cust_Id,Location,Age,Car Ownership,Income,Home Type,Job Experience,Loan Purpose,Loan Grade,Loan Balance,Interest Rate,loan_status,Default History,Credit History
160,Mumbai,23,1,14250000,MORTGAGE,5,EDUCATION,F,1650000,17.58,1,Y,3
161,Bangalore,23,0,1044000,OWN,2,PERSONAL,E,581250,17.04,1,N,4
162,Kolkata,24,1,4500000,RENT,0,PERSONAL,B,1875000,10.99,1,N,3
163,Delhi,24,1,4500000,RENT,2,PERSONAL,B,1875000,11.11,1,N,3
164,Bangalore,26,0,4050000,RENT,7,DEBTCONSOLIDATION,D,1875000,14.83,1,Y,2
165,Delhi,23,1,1050000,OWN,2,DEBTCONSOLIDATION,D,300000,,1,N,3
166,Pune,24,0,15000000,RENT,8,MEDICAL,B,900000,12.69,0,N,2
167,Kolkata,24,0,15000000,MORTGAGE,8,HOMEIMPROVEMENT,C,900000,13.49,0,N,2
168,Pune,21,1,15000000,MORTGAGE,5,EDUCATION,C,1200000,14.65,0,N,4
169,Delhi,25,0,4050000,RENT,3,HOMEIMPROVEMENT,E,1875000,16.82,1,N,4
170,Bangalore,23,1,4500000,RENT,3,PERSONAL,C,1875000,12.73,1,N,3
171,Pune,23,0,4500000,RENT,7,PERSONAL,B,1875000,10.25,1,N,4
172,Bangalore,21,0,4500000,RENT,6,EDUCATION,B,1875000,10.99,1,N,4
173,Mumbai,25,1,4646925,RENT,9,MEDICAL,C,1875000,12.73,1,N,2
174,Hyderabad,22,0,4230000,RENT,2,HOMEIMPROVEMENT,D,1875000,14.96,1,Y,3
175,Chennai,23,1,15000000,MORTGAGE,7,EDUCATION,A,2100000,,0,N,2
176,Pune,21,1,15000000,MORTGAGE,2,DEBTCONSOLIDATION,C,1875000,13.99,0,N,2
177,Delhi,24,1,15000000,MORTGAGE,3,VENTURE,A,1800000,7.49,0,N,4
178,Pune,26,0,15000000,MORTGAGE,4,EDUCATION,C,1125000,14.79,0,N,3
179,Kolkata,25,0,15000000,MORTGAGE,2,DEBTCONSOLIDATION,B,1162500,11.99,0,N,2
180,Kolkata,24,0,15000000,RENT,8,EDUCATION,A,750000,8.49,0,N,4
181,Chennai,24,0,4950000,RENT,3,EDUCATION,B,1875000,9.91,1,N,2
182,Kolkata,22,0,4950000,RENT,6,EDUCATION,C,1875000,13.06,1,Y,3
183,Kolkata,22,1,15000000,MORTGAGE,6,DEBTCONSOLIDATION,A,675000,6.17,0,N,4
184,Kolkata,144,1,15000000,MORTGAGE,4,EDUCATION,B,450000,11.86,0,N,2
185,Pune,25,0,15000000,RENT,5,EDUCATION,D,1350000,16.32,0,N,3
186,Kolkata,25,0,15000000,MORTGAGE,2,VENTURE,B,900000,10.38,0,N,2
187,Bangalore,25,1,15000000,MORTGAGE,9,PERSONAL,C,1728750,14.35,0,N,3
188,Mumbai,24,1,15000000,MORTGAGE,8,DEBTCONSOLIDATION,B,1500000,,0,N,3
189,Kolkata,24,0,4500000,RENT,2,DEBTCONSOLIDATION,E,1875000,,1,Y,2
190,Chennai,21,0,1080000,OWN,0,HOMEIMPROVEMENT,B,225000,,1,N,4
191,Hyderabad,26,0,5024700,RENT,10,PERSONAL,D,1875000,15.21,1,Y,2
192,Bangalore,23,1,5025000,RENT,3,EDUCATION,A,1875000,7.9,1,N,4
193,Bangalore,24,0,5025000,RENT,2,VENTURE,B,1875000,10.99,1,N,3
194,Delhi,24,0,5100000,RENT,5,PERSONAL,D,1875000,14.09,1,Y,3
195,Chennai,25,0,5175000,RENT,9,PERSONAL,D,1875000,17.49,1,N,2
196,Hyderabad,25,1,15000000,MORTGAGE,0,EDUCATION,B,900000,11.48,0,N,3
197,Kolkata,26,1,14100000,MORTGAGE,10,VENTURE,E,1500000,17.74,1,N,2
198,Chennai,26,0,15000000,MORTGAGE,4,PERSONAL,C,225000,13.92,0,N,3
199,Hyderabad,25,1,5249700,RENT,9,EDUCATION,D,1875000,15.21,1,N,3
200,Delhi,22,1,1080000,OWN,2,MEDICAL,B,300000,10.99,1,N,3
201,Delhi,24,1,5250000,RENT,3,EDUCATION,B,1875000,11.86,1,N,4
202,Delhi,24,0,1080000,OWN,5,PERSONAL,A,450000,7.49,1,N,3
203,Delhi,24,0,4207500,RENT,7,MEDICAL,D,1875000,16.49,1,N,4
204,Delhi,25,1,4950000,RENT,9,VENTURE,D,1875000,15.33,1,Y,2
205,Kolkata,26,1,4950000,RENT,3,HOMEIMPROVEMENT,B,1875000,11.58,1,N,4
206,Delhi,25,0,1080000,OWN,7,EDUCATION,A,403125,5.79,1,N,2
207,Bangalore,25,0,5445900,RENT,9,MEDICAL,C,1875000,13.11,1,N,2
208,Hyderabad,23,0,5550000,RENT,3,MEDICAL,B,1875000,10.36,1,N,3
209,Chennai,25,1,5625000,RENT,9,DEBTCONSOLIDATION,B,1875000,10.36,1,N,2
210,Kolkata,24,1,14400000,RENT,0,MEDICAL,C,1650000,,0,Y,2
211,Hyderabad,21,1,14400000,MORTGAGE,123,VENTURE,A,1500000,6.54,0,N,4
212,Pune,25,0,14325000,MORTGAGE,1,MEDICAL,B,750000,12.53,0,N,4
213,Chennai,26,1,14272500,MORTGAGE,5,PERSONAL,A,1125000,,0,N,3
214,Hyderabad,22,1,14250000,MORTGAGE,3,VENTURE,C,750000,,0,N,3
215,Bangalore,24,1,5625000,RENT,4,EDUCATION,B,1875000,10.25,1,N,4
216,Delhi,22,1,5325000,RENT,1,EDUCATION,D,1875000,15.95,1,Y,4
217,Chennai,26,1,14250000,MORTGAGE,3,VENTURE,B,1500000,12.18,0,N,4
218,Pune,23,0,14249700,OWN,0,PERSONAL,B,1800000,11.83,0,N,3
219,Delhi,23,0,5850000,RENT,7,DEBTCONSOLIDATION,C,1875000,,1,Y,2
220,Bangalore,23,1,5850000,RENT,1,VENTURE,B,1875000,10.62,1,N,3
221,Bangalore,23,0,5887800,RENT,7,VENTURE,B,1875000,10.74,1,N,3
222,Chennai,25,1,13950000,OWN,9,VENTURE,B,750000,10.25,0,N,4
223,Chennai,24,1,13875000,MORTGAGE,,EDUCATION,B,2625000,12.42,0,N,2
224,Delhi,25,0,13875000,RENT,6,VENTURE,C,1125000,15.27,0,N,2
225,Delhi,24,1,4653750,RENT,8,MEDICAL,D,1875000,15.33,1,Y,2
226,Delhi,23,1,5956200,RENT,7,VENTURE,D,1875000,15.21,1,Y,2
227,Pune,21,1,1080000,OWN,4,VENTURE,C,468750,14.72,1,N,2
228,Delhi,24,1,5972325,RENT,8,PERSONAL,D,1875000,15.7,1,Y,2
229,Chennai,24,1,5972400,RENT,0,EDUCATION,C,1875000,13.35,1,N,4
230,Bangalore,21,0,1080000,MORTGAGE,0,MEDICAL,C,112500,,0,N,4
231,Chennai,24,1,6000000,RENT,6,EDUCATION,A,1875000,6.62,1,N,2
232,Pune,26,1,6000000,RENT,5,DEBTCONSOLIDATION,C,1875000,13.61,1,N,4
233,Pune,22,1,13875000,RENT,4,MEDICAL,B,1875000,11.36,0,N,2
234,Chennai,26,0,13875000,OWN,10,PERSONAL,A,375000,7.68,0,N,2
235,Bangalore,24,1,13874400,RENT,7,HOMEIMPROVEMENT,D,1650000,14.46,0,Y,4
236,Hyderabad,23,0,13800000,OWN,5,EDUCATION,B,187500,11.83,0,N,2
237,Delhi,24,1,12900000,MORTGAGE,6,DEBTCONSOLIDATION,C,1500000,13.47,1,Y,4
238,Delhi,24,1,13725000,MORTGAGE,2,MEDICAL,B,1500000,11.49,0,N,3
239,Chennai,22,1,13725000,MORTGAGE,3,EDUCATION,A,75000,,0,N,2
240,Chennai,25,1,13721400,MORTGAGE,9,PERSONAL,A,1125000,6.03,0,N,3
241,Hyderabad,23,0,5550300,RENT,7,DEBTCONSOLIDATION,E,1875000,16.35,1,N,4
242,Pune,26,1,5550300,RENT,10,DEBTCONSOLIDATION,D,1875000,,1,Y,4
243,Mumbai,25,0,6075000,RENT,5,DEBTCONSOLIDATION,A,1875000,7.29,1,N,3
244,Chennai,23,1,6120000,RENT,1,MEDICAL,B,1875000,11.36,1,N,3
245,Pune,24,0,6150000,RENT,8,VENTURE,B,1875000,10.25,0,N,2
246,Mumbai,24,1,6225000,RENT,5,EDUCATION,B,1875000,11.12,0,N,3
247,Pune,24,0,6225000,RENT,5,PERSONAL,D,1875000,12.92,0,Y,3
248,Bangalore,24,1,13500000,RENT,8,EDUCATION,E,1350000,18.64,0,Y,4
249,Kolkata,23,1,13500000,MORTGAGE,8,PERSONAL,A,2100000,7.51,0,N,3
250,Kolkata,23,1,1080000,OWN,2,HOMEIMPROVEMENT,E,300000,16.7,1,N,2
251,Hyderabad,22,0,1080000,OWN,0,PERSONAL,B,157500,11.14,0,N,4
252,Mumbai,22,1,6337500,RENT,6,PERSONAL,F,1875000,18.3,0,N,4
253,Kolkata,24,1,6375000,RENT,5,MEDICAL,B,1875000,10.62,0,N,4
254,Bangalore,24,0,13500000,MORTGAGE,7,VENTURE,B,1050000,11.99,0,N,2
255,Chennai,26,0,13500000,MORTGAGE,2,VENTURE,B,900000,9.63,0,N,4
256,Kolkata,25,1,10710000,MORTGAGE,9,MEDICAL,F,750000,18.25,1,N,4
257,Mumbai,23,1,1099800,MORTGAGE,0,DEBTCONSOLIDATION,C,450000,,1,N,4
258,Chennai,24,0,6525000,RENT,8,HOMEIMPROVEMENT,D,1875000,14.84,0,N,3
259,Mumbai,24,1,5625000,RENT,0,VENTURE,E,1875000,14.7,1,Y,3
260,Pune,23,1,5700000,RENT,7,DEBTCONSOLIDATION,D,1875000,16.02,1,N,4
261,Delhi,23,1,4966125,RENT,1,MEDICAL,D,1875000,15.37,1,Y,2
262,Hyderabad,25,1,6750000,RENT,9,MEDICAL,B,1875000,10.99,0,N,4
263,Pune,21,0,1125000,OWN,0,HOMEIMPROVEMENT,A,465000,7.9,1,N,2
264,Pune,26,1,13500000,OWN,2,PERSONAL,B,1875000,10.99,0,N,4
265,Kolkata,24,1,13500000,OWN,8,EDUCATION,B,1575000,11.48,0,N,3
266,Chennai,25,0,13500000,OWN,9,MEDICAL,C,1500000,14.26,0,Y,4
267,Pune,26,0,13500000,OWN,0,HOMEIMPROVEMENT,A,750000,8,0,N,4
268,Chennai,25,1,13500000,MORTGAGE,3,VENTURE,B,746250,11.26,0,N,2
269,Bangalore,23,1,1125000,OWN,7,MEDICAL,B,335625,,1,N,4
270,Pune,23,1,5850000,RENT,2,VENTURE,D,1875000,16.32,1,Y,3
271,Kolkata,25,1,4972500,RENT,3,MEDICAL,E,1875000,17.93,1,Y,4
272,Chennai,23,1,6750000,RENT,0,DEBTCONSOLIDATION,B,1875000,11.36,0,N,3
273,Kolkata,24,0,5925000,RENT,9,DEBTCONSOLIDATION,D,1875000,14.96,1,Y,4
274,Chennai,24,0,6885000,RENT,4,PERSONAL,C,1875000,13.43,0,Y,3
275,Bangalore,25,0,6900000,RENT,6,HOMEIMPROVEMENT,B,1875000,12.69,0,N,3
276,Mumbai,24,1,6900000,RENT,1,VENTURE,C,1875000,12.73,0,Y,4
277,Chennai,23,0,7020000,RENT,3,VENTURE,D,1875000,15.21,0,N,4
278,Chennai,23,1,1125000,MORTGAGE,1,MEDICAL,C,131250,12.68,0,Y,3
279,Chennai,23,1,5291250,RENT,3,MEDICAL,F,1875000,19.04,1,Y,4
280,Delhi,25,0,6285000,RENT,2,DEBTCONSOLIDATION,D,1875000,15.95,1,Y,3
281,Bangalore,26,1,13125000,MORTGAGE,3,VENTURE,A,195000,8.9,0,N,4
282,Bangalore,25,1,13125000,MORTGAGE,10,HOMEIMPROVEMENT,A,600000,7.9,0,N,2
283,Pune,22,0,13125000,MORTGAGE,6,EDUCATION,B,1350000,,0,N,2
284,Mumbai,23,0,13125000,MORTGAGE,8,PERSONAL,B,1575000,11.99,0,N,3
285,Bangalore,23,0,1125000,OWN,4,DEBTCONSOLIDATION,C,300000,13.98,1,N,4
286,Kolkata,23,1,1125000,OWN,4,VENTURE,B,345000,10.99,1,N,2
287,Bangalore,22,0,6600000,RENT,6,DEBTCONSOLIDATION,D,1875000,15.58,1,Y,2
288,Delhi,25,1,5610000,RENT,2,MEDICAL,B,1875000,10.99,1,N,2
289,Chennai,25,0,6600000,RENT,0,VENTURE,D,1875000,14.96,1,N,4
290,Chennai,25,1,1125000,OWN,2,HOMEIMPROVEMENT,D,131250,15.31,0,Y,4
291,Pune,26,0,6600000,RENT,2,VENTURE,D,1875000,15.65,1,N,3
292,Mumbai,25,1,7500000,RENT,1,VENTURE,B,1875000,9.33,0,N,4
293,Kolkata,23,1,1125000,MORTGAGE,0,PERSONAL,C,270000,13.47,1,N,4
294,Delhi,24,0,7680000,RENT,8,PERSONAL,B,1875000,10.36,0,N,3
295,Pune,24,0,6900000,RENT,1,HOMEIMPROVEMENT,E,1875000,16.77,1,Y,4
296,Kolkata,23,0,6975000,RENT,0,DEBTCONSOLIDATION,D,1875000,14.59,1,Y,2
